x,y
68.0,56.0
69.0,57.0
67.0,53.0
68.0,54.0
57.0,34.0
57.0,32.0
58.0,32.0
59.0,31.0
59.0,30.0
60.0,31.0
61.0,30.0
62.0,30.0
62.0,29.0
63.0,29.0
64.0,29.0
65.0,29.0
65.0,27.0
66.0,28.0
67.0,27.0
68.0,27.0
69.0,27.0
70.0,27.0
68.0,14.0
71.0,27.0
72.0,27.0
73.0,27.0
74.0,27.0
75.0,27.0
74.0,15.0
76.0,27.0
77.0,27.0
78.0,28.0
79.0,29.0
79.0,15.0
80.0,29.0
81.0,29.0
82.0,29.0
83.0,29.0
84.0,28.0
84.0,29.0
85.0,29.0
86.0,29.0
87.0,29.0
88.0,28.0
88.0,29.0
89.0,29.0
90.0,29.0
91.0,29.0
92.0,29.0
93.0,28.0
93.0,29.0
94.0,29.0
95.0,29.0
96.0,29.0
97.0,29.0
98.0,29.0
99.0,29.0
100.0,29.0
101.0,28.0
101.0,29.0
102.0,29.0
103.0,29.0
104.0,29.0
105.0,29.0
106.0,29.0
108.0,29.0
109.0,29.0
110.0,29.0
111.0,29.0
112.0,29.0
113.0,29.0
114.0,29.0
116.0,29.0
117.0,29.0
118.0,29.0
120.0,29.0
121.0,29.0
122.0,29.0
124.0,29.0
125.0,29.0
127.0,29.0
129.0,29.0
130.0,29.0
132.0,29.0
134.0,29.0
136.0,29.0
138.0,29.0
140.0,29.0
142.0,29.0
145.0,29.0
147.0,29.0
150.0,29.0
153.0,29.0
155.0,29.0
158.0,29.0
162.0,29.0
165.0,29.0
169.0,29.0
107.0,61.0
102.0,64.0
101.0,65.0
102.0,65.0
100.0,66.0
99.0,67.0
100.0,67.0
98.0,68.0
99.0,68.0
97.0,69.0
98.0,69.0
95.0,70.0
97.0,70.0
94.0,71.0
95.0,71.0
96.0,71.0
98.0,71.0
93.0,72.0
95.0,72.0
97.0,72.0
112.0,71.0
93.0,73.0
95.0,73.0
108.0,73.0
109.0,73.0
138.0,73.0
189.0,48.0
189.0,50.0
190.0,52.0
190.0,54.0
190.0,56.0
191.0,58.0
191.0,60.0
192.0,62.0
192.0,64.0
193.0,66.0
193.0,68.0
125.0,57.0
121.0,57.0
119.0,57.0
117.0,57.0
117.0,58.0
116.0,58.0
116.0,59.0
114.0,59.0
113.0,59.0
114.0,60.0
112.0,60.0
111.0,60.0
110.0,60.0
110.0,61.0
109.0,61.0
