x,y
193.0,112.0
192.0,113.0
192.0,115.0
191.0,116.0
190.0,118.0
189.0,118.0
189.0,119.0
188.0,122.0
187.0,124.0
186.0,125.0
185.0,128.0
184.0,129.0
183.0,131.0
182.0,134.0
181.0,135.0
180.0,138.0
179.0,139.0
178.0,141.0
176.0,146.0
175.0,148.0
173.0,152.0
172.0,154.0
170.0,157.0
168.0,161.0
166.0,165.0
163.0,171.0
161.0,175.0
158.0,180.0
155.0,188.0
151.0,199.0
148.0,202.0
145.0,204.0
142.0,206.0
139.0,207.0
138.0,207.0
134.0,207.0
131.0,207.0
129.0,207.0
126.0,206.0
125.0,206.0
122.0,205.0
120.0,203.0
118.0,200.0
116.0,196.0
115.0,194.0
114.0,189.0
113.0,186.0
113.0,180.0
123.0,152.0
123.0,150.0
122.0,147.0
121.0,144.0
121.0,142.0
120.0,140.0
119.0,139.0
118.0,136.0
118.0,134.0
117.0,133.0
116.0,130.0
116.0,128.0
116.0,126.0
115.0,124.0
115.0,122.0
115.0,120.0
116.0,117.0
117.0,113.0
125.0,103.0
78.0,146.0
69.0,152.0
65.0,152.0
61.0,152.0
57.0,152.0
53.0,152.0
51.0,151.0
47.0,150.0
45.0,149.0
42.0,147.0
41.0,146.0
38.0,143.0
35.0,141.0
33.0,140.0
32.0,139.0
30.0,135.0
30.0,134.0
29.0,130.0
28.0,128.0
26.0,125.0
25.0,123.0
24.0,120.0
24.0,118.0
26.0,114.0
24.0,111.0
26.0,108.0
27.0,105.0
28.0,102.0
29.0,99.0
33.0,95.0
35.0,92.0
39.0,88.0
41.0,86.0
45.0,82.0
49.0,79.0
51.0,77.0
55.0,74.0
56.0,72.0
58.0,69.0
57.0,66.0
57.0,65.0
56.0,64.0
55.0,62.0
54.0,59.0
52.0,57.0
51.0,54.0
49.0,52.0
48.0,50.0
46.0,48.0
44.0,45.0
44.0,43.0
42.0,41.0
41.0,38.0
41.0,36.0
41.0,35.0
42.0,33.0
43.0,31.0
44.0,29.0
45.0,26.0
47.0,23.0
47.0,22.0
49.0,20.0
50.0,19.0
52.0,17.0
55.0,15.0
56.0,14.0
59.0,12.0
63.0,12.0
65.0,11.0
73.0,12.0
84.0,15.0
88.0,15.0
91.0,15.0
94.0,15.0
98.0,15.0
100.0,15.0
103.0,15.0
107.0,16.0
109.0,15.0
111.0,15.0
113.0,15.0
115.0,15.0
116.0,14.0
116.0,13.0
118.0,13.0
120.0,13.0
122.0,13.0
123.0,12.0
128.0,15.0
129.0,15.0
130.0,15.0
133.0,16.0
133.0,15.0
135.0,15.0
136.0,15.0
137.0,15.0
138.0,14.0
139.0,14.0
139.0,13.0
140.0,13.0
142.0,14.0
143.0,14.0
144.0,14.0
146.0,15.0
147.0,15.0
148.0,15.0
149.0,15.0
150.0,15.0
151.0,15.0
152.0,16.0
152.0,15.0
153.0,15.0
154.0,15.0
155.0,15.0
156.0,15.0
157.0,16.0
157.0,15.0
158.0,15.0
159.0,15.0
160.0,15.0
161.0,16.0
164.0,27.0
162.0,16.0
163.0,16.0
164.0,17.0
164.0,16.0
165.0,16.0
166.0,16.0
168.0,28.0
167.0,16.0
168.0,16.0
169.0,27.0
169.0,15.0
170.0,15.0
171.0,15.0
172.0,15.0
173.0,15.0
173.0,27.0
174.0,15.0
175.0,15.0
176.0,14.0
177.0,13.0
177.0,14.0
178.0,13.0
179.0,13.0
180.0,13.0
180.0,14.0
181.0,13.0
182.0,14.0
182.0,15.0
183.0,15.0
184.0,15.0
185.0,15.0
185.0,16.0
186.0,16.0
187.0,16.0
187.0,17.0
188.0,17.0
188.0,18.0
189.0,18.0
189.0,20.0
190.0,19.0
190.0,21.0
191.0,20.0
192.0,21.0
192.0,22.0
